"person","sequence_id","coin","start","sequence"
"frantisekB",1,"20DEM-silver","t","tththhtttthttthhhttttthhhttttttthxhhhttthtthttttttthhthhtthhhhthhhhthhhhhthtthhhththhhtttthhhhhthxttht"
"frantisekB",2,"20DEM-silver","h","tthtthhhhttxttttthhtthhtthtthhthhtttththhhhthhhtttttxthtttthttthtthtthhhthttthhtthtthhhtthhthhththttth"
"frantisekB",3,"20DEM-silver","t","thhththhtthhhhthtthhtxhxtttttthththhxttttththhhttthththhthhttthtththhthtxhththtthhthhhhhhhttthttthtthhtt"
"frantisekB",4,"20DEM-silver","t","thhhhthhhhhhhthhhhhhtthhhhtttththttttththhtttttthhthhhhhthhtthhtttthhhhhhthtttxtttthhththhttthhthhtht"
"frantisekB",5,"20DEM-silver","h","tttthtthhhthttttttthtthtthhxhhthhhttthththhthtttttthtththtthhthhhthtthtththhtxhhxthxhxhthttthttthhtthhhhh"
"frantisekB",6,"20DEM-silver","h","thhhttthhttthhttthhtthhhthtttthtthtthththhthhhththttthhthhtthhhthhhthttthhthhhhhttttttttthhthtthttth"
"frantisekB",7,"20DEM-silver","t","tththtthtthhhthhhhhthtththhhtthtttthththhthhttthhththhhhtthttxtttthththththhhhthhththhhhhhhhhhhttthxht"
"frantisekB",8,"20DEM-silver","h","htthtthttthtttttttttthtththhtthhhhthhtttttthtthhtthhthtthttttthxthhtttththtthhhxhhttttttthtthhthtthhht"
"frantisekB",9,"20DEM-silver","h","tthtthhtthhhhthhthtthhththhhtttttttththhttthththhttthhxhtththhhhhhhthhhhtxthtttthhhthhthxhtthththhhhhth"
"frantisekB",10,"20DEM-silver","h","tthhhhtthtthhtthtththhthhhttttththhhthttthttthtthxtttththhthhhhttxttthhhhththhhhtttththhhhthhhtthhthhh"
"frantisekB",11,"1CZK","h","htthhhtxtxhhhhtthhhhthhttttthttthhttxhhthtthttthxxtthhhhhhhhxttthxthttttththttttttxthhhttthhhxhhttthhttththtt"
"frantisekB",12,"1CZK","h","hthtthhhtttthttthxhtthhthhhhxthhhthttttththhhttththhhthhthhtthtthhhththttthtthhhhhhhxththhhhttxhhtthttth"
"frantisekB",13,"1CZK","t","tthtthhhhtttxttthhtthhtxhttttthhhthhttttthhhtthttththhtthtttthhhhtxthttthththhhtttthtttttthtthttthhthth"
"frantisekB",14,"1CZK","h","xtthhththhtthhhthththhhthttthtthhtththhtththhhthtttttttththhhttthhhxtthhhththhhhttththtthhthtthhthhhhh"
"frantisekB",15,"1CZK","h","tthxttthhththhxhhtttthhhhtthtxhtthhhthhhhhthxhxthhxtthtttthtttttthhthhttthhthhhhhththhthhhththhhhhthhhttxth"
"frantisekB",16,"1CZK","h","thhhththhthttthhthhxhhtthtxhtthhhthhtththhhhthtthhtthhthhhhhtthhhttthxhhhthhhhhtttxthhhttthtthhtthhhhtth"
"frantisekB",17,"1CZK","t","tththhtttttthhthhththhhtththhttttttththhxhtttttththhhththhtxhthhtththhhhhhtthhhhththttxhtthtttttthhhhhh"
"frantisekB",18,"1CZK","h","thththhhhhtthhhhhthtththtthhtthhthhthhhhtthhhhthttxhthhhttthhxthtthhhhhththhhhtthhhhththhththhtthththt"
"frantisekB",19,"1CZK","h","ttthhhthhttthtthttttthhhthttttthhhtttxtttthhththhtthhtthtthtthtththhthhhthttthhhxxhhthththtttthttttxhhth"
"frantisekB",20,"1CZK","t","hhhhthxhtttthhtthhhhxhhtthhhtthtxxtttttthhxtthtthhththhhhhtthhhtththxhththththxtththtxhtthhtxhttttthhhtthtttt"
"frantisekB",21,"5CZK","t","hthhhtthhtxhttthhhththhtthththttthxhththhhtxththththhhtttthhththhhtththxhhthttxtthtttththhthtttththhtthth"
"frantisekB",22,"5CZK","t","thththhhhthhxhtttthththhhxttthtththtttthtxthtttxthhthhhxthhhhtttththttttthhhthxttxhhhtthtxhhttthhhxhhhttthttt"
"frantisekB",23,"5CZK","h","tthhththttxhhtthttthhtthttttththhhtxhxhttthhxthtthhthtthttthhtthxthhthtthttttththtxhtthxttththtttthhthththh"
"frantisekB",24,"5CZK","h","hhtthttthttthtthhhhhxthttttttxhhtthhtthhtxhtttththtthhhhtthtthxthhhttthtttxthttthtttttthtthhhhththhhthttxt"
"frantisekB",25,"5CZK","h","tttthhhhhxhttthtthhhxhtttttthhhhthhhtxthhththtthtthtthhtthtxhtttxhthhhtthttttthtththttthhhxhhtxththxhhtthhth"
"frantisekB",26,"5CZK","t","xttttttttthhhhhhhhhttttthhthtthhhthtththththttthtthhxhttthxttthtthhhthhhhthtxttttthhhhhtthtttthttthhthth"
"frantisekB",27,"5CZK","h","ttththththhhhtxtttthtxthhhththtttthttthththhhhtxhtthtthtthththhxthtxthxhhhthththththhxhhthtxtththhtthhhthhtxh"
"frantisekB",28,"5CZK","h","hhhhthhhttttxtthttthhtttttttthththhhhththhxttthtthhxhhtttthhhthhthtttthhxhtthtxhhthtttthtthttttthhththhth"
"frantisekB",29,"5CZK","t","thhthhhthxthhthhhhhxhthttttthtthxttthhhthxhtttthhthhthhththhtxxhtthhtttthhhthhhhtttthttxxhhhhttthhhhthhthhht"
"frantisekB",30,"5CZK","h","httththhhhtxttthhthxthttthththtthtttxhhtthhhtthttthhthhtttthhhtthththttxththhhtthtthtththhttthththhhthht"
"frantisekB",31,"0.25USD","t","xttthhthttthhtthhhhhthhtttthhhhxhhthtttthhhtttxhhhhthththtthtthhhthhhtttthtttthhhthhhhthtttthhthhhhhttxt"
"frantisekB",32,"0.25USD","h","hhhtthhhhxthhtthtttthhhhthxtththxthhxhthttthxhhhhhhthtththhttthttthxthttththtxhhhhthhhthhtthhhhhhtttttthhhh"
"frantisekB",33,"0.25USD","h","tthhththhthhhxtththhthhhthttthhthhtxhhtthtthxhhhxhhhtthhhthxthhtththhtthhxxhhtttththttthtttthxthttthtxtttttxht"
"frantisekB",34,"0.25USD","t","hhthhthxhttthhthhxthtxhhtthtththtthhhhttxhthhttththhhhhhxthhhhttthhhxhthttthtxttththhhhttththtthtththhxtthth"
"frantisekB",35,"0.25USD","t","thhtttxhhhhhhhhhhhhhxthtttthttthhthtthhxthhtxtxttxttthhttthhtththtthtxtxthhthttthhtttxxhhhhxthththhhtthhhhththh"
"frantisekB",36,"0.25USD","t","hhhxhttthhhhhhththththtthtthhtthhtttthhthtthhtxtthhtxhhhththhttthtttthttttxhhthhhhththhthxtttthxthhttxtxttth"
"frantisekB",37,"0.25USD","t","thtthththhhthhhhtthhththtththththhhhthttthtththxhhttxhhhhttxthxthhthhttxththththhhhttthhttthttththxhtxthhth"
"frantisekB",38,"0.25USD","h","hhthtthtthttthtttthtthttttththhtxththhhxhhththhxthhhhthtxtttttthhthhtthhtthtthxthhhhhthhtttxhhtthhthhtthxhxh"
"frantisekB",39,"0.25USD","h","thxthtttthththxhtthhthtttthhththhhhththhtththhtthhtththxthththtthhthhhhxttxttttthhhthtxtththhhhxtthhhhhhthh"
"frantisekB",40,"0.25USD","h","thhhhhhthhhhtxxtttthtthttxtthxtththttthxthhthxhhhhththtthtttthttttttthxtththhthhthhthhthttththttxthhxtthttthh"
"frantisekB",41,"10CZK","t","xhttttthththhttthhhtththhttxthxtthhthhhtttthththhhtthhthhxththththttthtxhhththhtththtthxhtxthhhtthhthttthtxh"
"frantisekB",42,"10CZK","t","tththhhhththxhhhttthhhxthhttxhhtxttthhthththhxttthtthhhttxthtthththttthhtththhhhthtthhhhhttxtthttthtxthhthhh"
"frantisekB",43,"10CZK","h","thhhxtthhxtxhhhhthttxtttthhthhttthttthtthhhhxhttxthttthhhtthhhtthhhhhthhththhttthththtthhtththtxtththhtttht"
"frantisekB",44,"10CZK","h","thttttthtthttttttxhxthttttthhthhhhthththththhhtththxhthhhtxttthththhthhxhthhthhhttthttthtttttththhhxttttth"
"frantisekB",45,"10CZK","t","hthttthxttthhhttthththhhhhtxthhxhhthhtththhhttxhhhhththttttttxthttttthhttthhthhhthhthxthhhhhththhhhttttttt"
"frantisekB",46,"10CZK","t","thtthhxhhthtthtthhtththtththxthhhthxttthtthhhtxhhhtththhhhttthhxthhthththhhhttththhhhxthhhhhttttthhthtxhhhh"
"frantisekB",47,"10CZK","h","hhttthhhxhhthhttxtttthtthhhhxttthttthhtxttttxthhhtttthhhthhthhhttxthhthtthhhttthhtthhhttttthhttthxhhthtttth"
"frantisekB",48,"10CZK","t","thttthhttthhththxthhtthtttthhhhhhxhhhhhhxhhhhtthttttthhhxtthththtthxhthtxthhhtthttttxhhttttthhhhhtththhthhh"
"frantisekB",49,"10CZK","h","htttththhhtthttththtthhxtthhthhthttttthththhhhttththttttxtttxhhtthtxthththtthxxxhxthxhhthhhhxtthhtthhttthxthhtt"
"frantisekB",50,"10CZK","h","thhtthtxxththththhhttthhhhhhxhhthhtxhhhhthhtththttthhhhthtthhhthhhthhhhthhththhhhtthhhxthththththttththht"
"frantisekB",51,"0.5EUR","h","htxthhtttttthththttththhhtththtthttxttttxththttthtthttthhhhhhthththhhttttthththhhhhthhthhthttthxttthhhtt"
"frantisekB",52,"0.5EUR","t","htxtthttxthhhthhhhhthhhhthhhhthtttthtxhthhttthhhhtthhttttthhthththhtttthhtthhhxhhtttthtthttthhhhxhhhhhxhht"
"frantisekB",53,"0.5EUR","t","tthtthhhhtththhthththhthtttththhhthhthhtxhhtttthhhxttthtthhxththhhhhtthtthhhhthtththtthththttxxthtththttt"
"frantisekB",54,"0.5EUR","h","hthtthhhxthhthttththhttthttxhtthhhhthhhhthtththhhhtxhhhhhhthththttttthhhtttthththxhthhttthhhththtthhxthhh"
"frantisekB",55,"0.5EUR","t","tththhhxthhththhhhhhxhhhhththttthhtthttthhhhhhtttttttxtthttxhhthhhtthttttthhtthhtthhthtthhhhhttthhhthhth"
"frantisekB",56,"0.5EUR","h","hhthhhxthhtthttthththhthhhhtxththtthhtthhhtthhtthtthhthhhttttttththththhthtthhttxhthhtthhhhttttththhttt"
"frantisekB",57,"0.5EUR","h","hhhthhtthttttxhhxthtttthhhtthhhhttthtthhhhhthhththtxhhtthhhhhhhhthhhtthttttxhhhhxhhhththtthhhhththhhhxthth"
"frantisekB",58,"0.5EUR","t","hhthttthththhhtthhhhxtthhhhhttthtttthhtttththhthhhxhhtxhthhttxtttttttttthhhtttthhhhthtthththxthttthxhhthth"
"frantisekB",59,"0.5EUR","h","hhhttthtxththtthhhtthhtttthththttthhthtthhhttttthhtttththxhtththhhxthhtthhththtttttthtxhhththhttthhhtxtht"
"frantisekB",60,"0.5EUR","h","hhththththththtthtthhhhtthxtxhttthtxthtththththhtththttttththtthttthhhttththhhxhttththxhtthhhhttthttxhhhtt"
"frantisekB",61,"1EUR","t","hxhtxtxxhhtthhhhtthhttxhhttthttthhhhhhhthhhhtthhhhhhthhtthhhhhtththhhthxxtthhxthhhhhththtttttttxhhhhhtttthhtt"
"frantisekB",62,"1EUR","t","txhthhhtttttthttttttthhhhhthhtttththttxthtxhththhhthttthhhthhhhthttttthtthttththhhttxhhhththhthtththhhtt"
"frantisekB",63,"1EUR","h","htthhtxhthhhttthhxthttthtthhthhhxthttthththththhthhtthhthhxhhhtthhhhttthtththththhthtththhxhtttxtthththhht"
"frantisekB",64,"1EUR","h","httxhtttttththhhhhtttththhhtthhthtthhthtxhhththtthttthtthhtthhtththhhthhttttxhhthtttxhhxthhttxtthhhttthhht"
"frantisekB",65,"1EUR","t","hhththhhthththtthhhthhhxhtthtthhtthxtttttthhtthhhhththttttxhhhthtththtttttthttttthhhtthhtththhhhhthttxtt"
