,same_side,heads,person,coin
0,0,0,1,1
1,0,1,1,1
2,1,1,1,1
3,0,0,1,1
4,0,1,1,1
5,0,0,1,1
6,1,0,1,1
7,0,1,1,1
8,0,0,1,1
9,0,1,1,1
10,1,1,1,1
11,1,1,1,1
12,0,0,1,1
13,1,0,1,1
14,0,1,1,1
15,1,1,1,1
16,1,1,1,1
17,0,0,1,1
18,0,1,1,1
19,0,0,1,1
20,0,1,1,1
21,1,1,1,1
22,1,1,1,1
23,1,1,1,1
24,1,1,1,1
25,0,0,1,1
26,1,0,1,1
27,0,1,1,1
28,1,1,1,1
29,0,0,1,1
30,1,0,1,1
31,1,0,1,1
32,1,0,1,1
33,1,0,1,1
34,0,1,1,1
35,1,1,1,1
36,1,1,1,1
37,0,0,1,1
38,1,0,1,1
39,0,1,1,1
40,1,1,1,1
41,1,1,1,1
42,0,0,1,1
43,0,1,1,1
44,0,0,1,1
45,0,1,1,1
46,0,0,1,1
47,0,1,1,1
48,0,0,1,1
49,0,1,1,1
50,1,1,1,1
51,0,0,1,1
52,1,0,1,1
53,1,0,1,1
54,1,0,1,1
55,1,0,1,1
56,1,0,1,1
57,0,1,1,1
58,0,0,1,1
59,1,0,1,1
60,0,1,1,1
61,1,1,1,1
62,0,0,1,1
63,0,1,1,1
64,1,1,1,1
65,1,1,1,1
66,1,1,1,1
67,0,0,1,1
68,0,1,1,1
69,1,1,1,1
70,1,1,1,1
71,0,0,1,1
72,1,0,1,1
73,0,1,1,1
74,1,1,1,1
75,0,0,1,1
76,1,0,1,1
77,0,1,1,1
78,1,1,1,1
79,0,0,1,1
80,1,0,1,1
81,0,1,1,1
82,0,0,1,1
83,1,0,1,1
84,0,1,1,1
85,1,1,1,1
86,0,0,1,1
87,1,0,1,1
88,1,0,1,1
89,1,0,1,1
90,1,0,1,1
91,0,1,1,1
92,0,0,1,1
93,0,1,1,1
94,0,0,1,1
95,1,0,1,1
96,0,1,1,1
97,1,1,1,1
98,1,1,1,1
99,0,0,1,1
100,0,1,1,1
101,1,1,1,1
102,0,0,1,1
103,0,1,1,1
104,0,0,1,1
105,0,1,1,1
106,1,1,1,1
107,1,1,1,1
108,0,0,1,1
109,1,0,1,1
110,0,1,1,1
111,0,0,1,1
112,0,1,1,1
113,0,0,1,1
114,0,1,1,1
115,1,1,1,1
116,0,0,1,1
117,0,1,1,1
118,1,1,1,1
119,0,0,1,1
120,0,1,1,1
121,1,1,1,1
122,1,1,1,1
123,1,1,1,1
124,1,1,1,1
125,1,1,1,1
126,0,0,1,1
127,1,0,1,1
128,0,1,1,1
129,1,1,1,1
130,0,0,1,1
131,0,1,1,1
132,0,0,1,1
133,0,1,1,1
134,0,0,1,1
135,0,1,1,1
136,1,1,1,1
137,1,1,1,1
138,0,0,1,1
139,1,0,1,1
140,0,1,1,1
141,1,1,1,1
142,1,1,1,1
143,0,0,1,1
144,0,1,1,1
145,1,1,1,1
146,1,1,1,1
147,0,0,1,1
148,1,0,1,1
149,0,1,1,1
150,0,0,1,1
151,1,0,1,1
152,0,1,1,1
153,1,1,1,1
154,1,1,1,1
155,1,1,1,1
156,1,1,1,1
157,1,1,1,1
158,0,0,1,1
159,0,1,1,1
160,1,1,1,1
161,0,0,1,1
162,1,0,1,1
163,1,0,1,1
164,1,0,1,1
165,0,1,1,1
166,0,0,1,1
167,0,1,1,1
168,1,1,1,1
169,0,0,1,1
170,1,0,1,1
171,1,0,1,1
172,1,0,1,1
173,1,0,1,1
174,1,0,1,1
175,1,0,1,1
176,1,0,1,1
177,0,1,1,1
178,0,0,1,1
179,1,0,1,1
180,0,1,1,1
181,0,0,1,1
182,1,0,1,1
183,0,1,1,1
184,1,1,1,1
185,1,1,1,1
186,0,0,1,1
187,1,0,1,1
188,0,1,1,1
189,1,1,1,1
190,1,1,1,1
191,1,1,1,1
192,1,1,1,1
193,1,1,1,1
194,0,0,1,1
195,0,1,1,1
196,1,1,1,1
197,0,0,1,1
198,1,0,1,1
199,0,1,1,1
200,1,1,1,1
201,0,0,1,1
202,1,0,1,1
203,1,0,1,1
204,1,0,1,1
205,1,0,1,1
206,1,0,1,1
207,0,1,1,1
208,0,0,1,1
209,1,0,1,1
210,0,1,1,1
211,0,0,1,1
212,0,1,1,1
213,1,1,1,1
214,0,0,1,1
215,1,0,1,1
216,0,1,1,1
217,1,1,1,1
218,1,1,1,1
219,1,1,1,1
220,0,0,1,1
221,0,1,1,1
222,1,1,1,1
223,0,0,1,1
224,0,1,1,1
225,0,0,1,1
226,0,1,1,1
227,0,0,1,1
228,0,1,1,1
229,1,1,1,1
230,1,1,1,1
231,1,1,1,1
232,0,0,1,1
233,0,1,1,1
234,1,1,1,1
235,0,0,1,1
236,1,0,1,1
237,1,0,1,1
238,0,1,1,1
239,1,1,1,1
240,0,0,1,1
241,1,0,1,1
242,1,0,1,1
243,1,0,1,1
244,1,0,1,1
245,0,1,1,1
246,0,0,1,1
247,1,0,1,1
248,0,1,1,1
249,0,0,1,1
250,1,0,1,1
251,1,0,1,1
252,1,0,1,1
253,0,1,1,1
254,1,1,1,1
255,0,0,1,1
256,0,1,1,1
257,0,0,1,1
258,1,0,1,1
259,0,1,1,1
260,1,1,1,1
261,0,0,1,1
262,1,0,1,1
263,1,0,1,1
264,0,1,1,1
265,1,1,1,1
266,1,1,1,1
267,0,0,1,1
268,1,0,1,1
269,1,0,1,1
270,1,0,1,1
271,0,1,1,1
272,1,1,1,1
273,0,0,1,1
274,1,0,1,1
275,1,0,1,1
276,0,1,1,1
277,0,0,1,1
278,1,0,1,1
279,0,1,1,1
280,0,0,1,1
281,0,1,1,1
282,0,0,1,1
283,1,0,1,1
284,1,0,1,1
285,1,0,1,1
286,1,0,1,1
287,1,0,1,1
288,0,1,1,1
289,1,1,1,1
290,0,0,1,1
291,1,0,1,1
292,1,0,1,1
293,0,1,1,1
294,1,1,1,1
295,0,0,1,1
296,1,0,1,1
297,0,1,1,1
298,1,1,1,1
299,0,0,1,1
300,0,1,1,1
301,0,0,1,1
302,0,1,1,1
303,0,0,1,1
304,0,1,1,1
305,1,1,1,1
306,0,0,1,1
307,1,0,1,1
308,0,1,1,1
309,0,0,1,1
310,0,1,1,1
311,0,0,1,1
312,0,1,1,1
313,0,0,1,1
314,0,1,1,1
315,0,0,1,1
316,0,1,1,1
317,1,1,1,1
318,0,0,1,1
319,1,0,1,1
320,0,1,1,1
321,0,0,1,1
322,1,0,1,1
323,1,0,1,1
324,1,0,1,1
325,1,0,1,1
326,0,1,1,1
327,0,0,1,1
328,1,0,1,1
329,0,1,1,1
330,0,0,1,1
331,1,0,1,1
332,1,0,1,1
333,0,1,1,1
334,0,0,1,1
335,0,1,1,1
336,1,1,1,1
337,0,0,1,1
338,1,0,1,1
339,1,0,1,1
340,1,0,1,1
341,1,0,1,1
342,0,1,1,1
343,1,1,1,1
344,1,1,1,1
345,1,1,1,1
346,1,1,1,1
